id,created_at,text,source,geo,place,retweet_count,favorite_count,favorited,retweeted,sentiment,positive,negative
1.6016166411580498e+18,Sat Dec 10 16:35:38 +0000 2022,R.I.P #Bitcoin Rainbow Chart https://t.co/yh4PxtmYJr,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,704.0,3743.0,False,False,positive,0.9902499318122864,0.00975005328655243
1.6037742914214339e+18,Fri Dec 16 15:29:22 +0000 2022,"Please all be aware that Bitcoin $BTC is developing the infamous ""three blind mice"" chart construction. https://t.co/YeZHaHiOev","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,603.0,5081.0,False,False,positive,0.9999998807907104,1.1440373981486118e-07
1.6042649926095503e+18,Sat Dec 17 23:59:14 +0000 2022,ETHUSD Weakness.. alike the Crypto Market for COINBASE:ETHUSD by WillSebastian #bitcoin #crypto #btc $btc… https://t.co/rpDqjhOSo7,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,1.0,False,False,positive,0.9999998807907104,6.245439720942159e-08
1.6042645043003924e+18,Sat Dec 17 23:57:18 +0000 2022,🔥 ETHUSD Weakness.. (alike the Crypto Market)❓ Check the post https://t.co/O9iCSUt6gO #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,0.0,False,False,positive,1.0,2.2046021952437656e-10
1.604261992214274e+18,Sat Dec 17 23:47:19 +0000 2022,🔥 BCTUSDT Shorts❓ Check the post https://t.co/vO7qBQCIoi #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,0.0,False,False,positive,1.0,1.2803706983532948e-09
1.6042605459555246e+18,Sat Dec 17 23:41:34 +0000 2022,RT @MASTERBTCLTC: Pay attention to this chart. Litecoin transaction volume in dollars is catching up to Bitcoin and Bitcoin is in dire stra…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,10.0,0.0,False,False,positive,0.9906519651412964,0.009347991086542606
1.6042596266477076e+18,Sat Dec 17 23:37:55 +0000 2022,A BUY STEP FOR POLKADOT  for KUCOIN:DOTUSDT by OmidBK2003 #bitcoin #crypto #btc $btc https://t.co/srr2MGELHa https://t.co/1cIfWgBbwC,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,3.0,False,False,positive,0.9999997615814209,2.5311089757451555e-07
1.6042594792892006e+18,Sat Dec 17 23:37:20 +0000 2022,🔥 A BUY STEP FOR POLKADOT !!!❓ Check the post https://t.co/vtHzWZqFIR #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,0.0,False,False,positive,1.0,2.4141227683571742e-08
1.6042579093317468e+18,Sat Dec 17 23:31:05 +0000 2022,Thoughts on $BTC #Bitcoin! See Baharmostofi's idea on TradingView below. https://t.co/9DVcotltrA,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">CryptoCharts Feed</a>",,,0.0,0.0,False,False,positive,0.7217015027999878,0.2782985270023346
1.604257245831e+18,Sat Dec 17 23:28:27 +0000 2022,"RT @PeterLBrandt: Please all be aware that Bitcoin $BTC is developing the infamous ""three blind mice"" chart construction. https://t.co/YeZH…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,603.0,0.0,False,False,positive,0.9999992847442627,6.794518867536681e-07
1.6042570320051978e+18,Sat Dec 17 23:27:36 +0000 2022,BTC broke down the RSI Support for BINANCE:BTCUSDT by bOnchain #bitcoin #crypto #btc $btc https://t.co/nQzwj8p2z3 https://t.co/huwJyZcn1t,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,1.0,False,False,positive,1.0,6.004345909360609e-09
1.6042569563189821e+18,Sat Dec 17 23:27:18 +0000 2022,🔥 BTC broke down the RSI Support❓ Check the post https://t.co/sddnQhMJrr #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,1.0,False,False,positive,0.9999996423721313,3.0578144105675165e-07
1.6042561646988206e+18,Sat Dec 17 23:24:09 +0000 2022,Top Crypto Analyst Forecasts Big Move for Binance Coin (BNB) on Bitcoin (BTC) Chart #binance #bnb https://t.co/9ZNHk5mAvo,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",,,1.0,5.0,False,False,positive,0.9999936819076538,6.3677371144876815e-06
1.6042550080104407e+18,Sat Dec 17 23:19:34 +0000 2022,THE DAILY HODL: Top Crypto Analyst Forecasts Big Move for Binance Coin (BNB) on Bitcoin (BTC) Chart – Here’s the Ou… https://t.co/bMs0AS6n88,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",,,0.0,1.0,False,False,positive,0.9987176656723022,0.0012823529541492462
1.60425467481054e+18,Sat Dec 17 23:18:14 +0000 2022,Top Crypto Analyst Forecasts Big Move for Binance Coin (BNB) on Bitcoin (BTC) Chart – Here’s the Outlook https://t.co/roye4NVxiZ,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">Jetpack.com</a>",,,0.0,1.0,False,False,positive,0.9999781847000122,2.1831001504324377e-05
1.6042544381972808e+18,Sat Dec 17 23:17:18 +0000 2022,🔥 BTC in descending channel❓ Check the post https://t.co/njo9xfceVR #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,2.0,False,False,positive,0.9999988079071045,1.2106389704058529e-06
1.6042519562052936e+18,Sat Dec 17 23:07:26 +0000 2022,BTC broke down the RSI Support for BITSTAMP:BTCUSD by bOnchain #bitcoin #crypto #btc $btc https://t.co/iWAAm9RLFT https://t.co/vpbbUfgyuK,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,0.0,False,False,positive,1.0,2.366517470875351e-08
1.6042519288205885e+18,Sat Dec 17 23:07:20 +0000 2022,🔥 BTC broke down the RSI Support❓ Check the post https://t.co/llOFGPXB6I #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,0.0,False,False,positive,1.0,2.2137776056752045e-08
1.6042516981968937e+18,Sat Dec 17 23:06:25 +0000 2022,Huge BTCUSDT Falling Wedge for BINANCE #Trading #bitcoin via https://t.co/yNOfVDx5DP https://t.co/hpPTwaL5X3,"<a href=""http://twinybots.com"" rel=""nofollow"">TwinyBots</a>",,,0.0,0.0,False,False,positive,1.0,1.3712223197182016e-11
1.6042515910867845e+18,Sat Dec 17 23:05:59 +0000 2022,Instead of watching movies i watch live #Bitcoin chart. This is more exciting than any action movie 🙃,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,0.0,3.0,False,False,negative,0.16485366225242615,0.8351463079452515
1.604249441539707e+18,Sat Dec 17 22:57:27 +0000 2022,SPOT OPPORTUNITY ON LTC  for KUCOIN:LTCUSDT by OmidBK2003 #bitcoin #crypto #btc $btc https://t.co/x4iIgvkRGI https://t.co/vbyJiQlcEF,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,0.0,False,False,positive,0.9727489948272705,0.02725103497505188
1.604249411776807e+18,Sat Dec 17 22:57:19 +0000 2022,🔥 SPOT OPPORTUNITY ON LTC !!!❓ Check the post https://t.co/vNHocr6dr6 #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,0.0,False,False,positive,0.9998939037322998,0.00010607232979964465
1.6042493525367562e+18,Sat Dec 17 22:57:05 +0000 2022,#fibonacci and the universe: fibonacci and the universe Bitcoin / United States Dollar COINBASE:BTCUSD thecryer – S… https://t.co/3tII8Eusrq,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",,,0.0,0.0,False,False,negative,0.16564862430095673,0.8343513607978821
1.60424817328282e+18,Sat Dec 17 22:52:24 +0000 2022,Pay attention to this chart. Litecoin transaction volume in dollars is catching up to Bitcoin and Bitcoin is in dir… https://t.co/9eoAh1I7Vf,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,10.0,51.0,False,False,positive,0.9999988079071045,1.1437989542173455e-06
1.6042476301877453e+18,Sat Dec 17 22:50:15 +0000 2022,Top Crypto Analyst Forecasts Big Move for Binance Coin (BNB) on Bitcoin (BTC) Chart – Here’s the Outlook… https://t.co/UAznP0IuZx,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",,,0.0,0.0,False,False,positive,0.9997597336769104,0.00024026665778364986
1.6042469191103283e+18,Sat Dec 17 22:47:25 +0000 2022,BTCUSDT - Bearish Gartley - Correlation to USD INDEX  for BINANCE:BTCUSDT by hmaroudas #bitcoin #crypto #btc $btc… https://t.co/nOSYJHTcgq,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,0.0,False,False,positive,0.9999997615814209,2.2287719048108556e-07
1.604246891713151e+18,Sat Dec 17 22:47:19 +0000 2022,🔥 BTCUSDT - Bearish Gartley - Correlation to USD INDEX❓ Check the post https://t.co/ygxVWxNBTt #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,1.0,False,False,positive,1.0,2.1182020581989036e-09
1.6042444567897088e+18,Sat Dec 17 22:37:38 +0000 2022,ETHUSDT-Positive After Reverse Head&amp;Shoulders - Into Resistance for BINANCE:ETHUSDT by hmaroudas #bitcoin… https://t.co/L8rZwW51Ri,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,0.0,False,False,negative,0.059607211500406265,0.9403927326202393
1.6042443774586757e+18,Sat Dec 17 22:37:19 +0000 2022,🔥 ETHUSDT-Positive After Reverse Head&amp;Shoulders - Into Resistance❓ Check the post https://t.co/Hk0NsX4SQ3 #bitcoin… https://t.co/njvsxY1afe,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,0.0,False,False,positive,0.9860593676567078,0.013940638862550259
1.6042428370501222e+18,Sat Dec 17 22:31:12 +0000 2022,This support looks legit for BITSTAMP:BTCUSD by Finnovin #Bitcoin $BTC https://t.co/vo1Qc30b97 https://t.co/3LMrpiNGPn,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,1.0,False,False,positive,0.9999972581863403,2.7306648462399608e-06
1.6042428114732483e+18,Sat Dec 17 22:31:06 +0000 2022,Thoughts on $BTC #Bitcoin! See Finnovin's idea on TradingView below. https://t.co/X61DgcTQPy,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">CryptoCharts Feed</a>",,,0.0,0.0,False,False,positive,0.918822705745697,0.08117727190256119
1.6042425921573683e+18,Sat Dec 17 22:30:14 +0000 2022,RT @bitcoinagile: Huge BTCUSDT Falling Wedge for BINANCE:BTCUSDT by Traders_Endeavors #Bitcoin $BTC https://t.co/tCXTZLIHcQ https://t.co/Zu…,"<a href=""http://twinybots.com"" rel=""nofollow"">TwinyBots</a>",,,2.0,0.0,False,False,positive,0.9999998807907104,6.242891004148987e-08
1.6042418879714017e+18,Sat Dec 17 22:27:26 +0000 2022,COMPUSDT Initial Long - Oversold for BINANCE:COMPUSDT by unknownpower #bitcoin #crypto #btc $btc… https://t.co/oj2q3G5MXF,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,1.0,False,False,positive,0.5571479797363281,0.44285205006599426
1.6042418600290304e+18,Sat Dec 17 22:27:19 +0000 2022,🔥 COMPUSDT Initial Long - Oversold❓ Check the post https://t.co/S5S2dySe9S #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,0.0,False,False,positive,0.9998645782470703,0.0001353652769466862
1.6042400175216148e+18,Sat Dec 17 22:20:00 +0000 2022,Top Crypto Analyst Forecasts Big Move for Binance Coin (BNB) on Bitcoin (BTC) Chart – Here’s the Outlook - The Dail… https://t.co/MuhwydROAq,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,0.0,0.0,False,False,positive,0.9999964237213135,3.544232868080144e-06
1.6042393661000294e+18,Sat Dec 17 22:17:24 +0000 2022,BTC for BINANCE:BTCUSDT by BlueWhale90 #bitcoin #crypto #btc $btc https://t.co/w4nIuCx871 https://t.co/1ZgwiNyXvQ,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,1.0,False,False,positive,1.0,1.9552388597077197e-09
1.604239338807722e+18,Sat Dec 17 22:17:18 +0000 2022,🔥 BTC❓ Check the post https://t.co/6dI3XQ40rV #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,0.0,False,False,positive,1.0,8.528461492574024e-09
1.6042390638753096e+18,Sat Dec 17 22:16:12 +0000 2022,BTC VS A1000x true reversal point  for BINANCE:BTCUSDT by Aadil1000x #Bitcoin $BTC https://t.co/w2wLCTVV5s https://t.co/fl2X0hJcjx,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,0.0,False,False,positive,0.9999943971633911,5.627385235129623e-06
1.6042390364736758e+18,Sat Dec 17 22:16:06 +0000 2022,Thoughts on $BTC #Bitcoin! See Aadil1000x's idea on TradingView below. https://t.co/snMcvoxUON,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">CryptoCharts Feed</a>",,,0.0,0.0,False,False,positive,0.8821549415588379,0.11784503608942032
1.6042379014786253e+18,Sat Dec 17 22:11:35 +0000 2022,Top Crypto Analyst Forecasts Big Move for Binance Coin (BNB) on Bitcoin (BTC) Chart – Here’s the Outlook https://t.co/G9k5zlV9kY,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",,,0.0,0.0,False,False,positive,0.9999982118606567,1.792850753190578e-06
1.604237703255675e+18,Sat Dec 17 22:10:48 +0000 2022,Top Crypto Analyst Forecasts Big Move for Binance Coin (BNB) on Bitcoin (BTC) Chart – Here’s the Outlook https://t.co/heoAviB7gg,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">Jetpack.com</a>",,,0.0,0.0,False,False,positive,0.9999237060546875,7.632567576365545e-05
1.6042368223511716e+18,Sat Dec 17 22:07:18 +0000 2022,🔥 btcusdt❓ Check the post https://t.co/hpnovj7QFi #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,0.0,False,False,positive,1.0,1.1346354966690342e-09
1.6042363235938058e+18,Sat Dec 17 22:05:19 +0000 2022,RT @bitcoinagile: BTC/USDT: Downside Continuation? for COINBASE:BTCUSD by marcyacoub #Bitcoin https://t.co/MwvapDC8wD https://t.co/XLaaUAJv…,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,1.0,0.0,False,False,negative,0.21786732971668243,0.7821326851844788
1.6042362107628175e+18,Sat Dec 17 22:04:52 +0000 2022,BTC/USDT: Downside Continuation? for COINBASE:BTCUSD by marcyacoub #Bitcoin https://t.co/MwvapDC8wD https://t.co/XLaaUAJvKs,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,1.0,0.0,False,False,negative,0.10973255336284637,0.8902674317359924
1.6042353050490962e+18,Sat Dec 17 22:01:16 +0000 2022,Huge BTCUSDT Falling Wedge for BINANCE:BTCUSDT by Traders_Endeavors #Bitcoin $BTC https://t.co/tCXTZLIHcQ https://t.co/Zu5D8XRYTT,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,2.0,3.0,False,False,positive,0.9999998807907104,6.97340780675404e-08
1.6042352652617277e+18,Sat Dec 17 22:01:07 +0000 2022,Thoughts on $BTC #Bitcoin! See Traders_Endeavors's idea on TradingView below. https://t.co/EF0AeiKr8B,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">CryptoCharts Feed</a>",,,0.0,0.0,False,False,positive,0.969512403011322,0.03048761747777462
1.6046268977653842e+18,Sun Dec 18 23:57:19 +0000 2022,🔥 VIDTUSDT❓ Check the post https://t.co/oH6EglzK85 #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,0.0,False,False,positive,0.9999985694885254,1.405977513968537e-06
1.6045781686853386e+18,Sun Dec 18 20:43:41 +0000 2022,JUST IN: 🇳🇬 Nigeria to pass bill legalizing #Bitcoin and crypto - Local Newspaper 🙌,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,837.0,4344.0,False,False,positive,0.9991838335990906,0.0008161651203408837
1.6044726394684908e+18,Sun Dec 18 13:44:21 +0000 2022,Believe in #Bitcoin. https://t.co/5PYy4V5FNJ,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,1927.0,14678.0,False,False,positive,1.0,1.1310406833331399e-08
1.6045075107774628e+18,Sun Dec 18 16:02:55 +0000 2022,BREAKING: Legendary rapper Drake bet $1 MILLION #Bitcoin on World Cup Final 🤯 https://t.co/SZUnuKFEBp,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,392.0,2824.0,False,False,positive,0.9999985694885254,1.4253332665248308e-06
1.6045535851482726e+18,Sun Dec 18 19:06:00 +0000 2022,When someone asks me if I own #Bitcoin or #Ethereum and I own both: https://t.co/qbJTMylEIZ,"<a href=""https://publer.io"" rel=""nofollow"">Publer.io</a>",,,110.0,698.0,False,False,positive,1.0,3.4303190843409936e-10
1.6046275599200584e+18,Sun Dec 18 23:59:57 +0000 2022,RT @saylor: Believe in #Bitcoin. https://t.co/5PYy4V5FNJ,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,1930.0,0.0,False,False,negative,0.06215151771903038,0.9378484487533569
1.6046275588589978e+18,Sun Dec 18 23:59:57 +0000 2022,Maintaining your wealth under a fiat standard.  #Bitcoin https://t.co/WJf7mGjh5N,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,0.0,0.0,False,False,positive,0.9999994039535522,6.484606274170801e-07
1.6046275509484052e+18,Sun Dec 18 23:59:55 +0000 2022,@100trillionUSD Except if you mean Bitcoin is BTC then we are talking more than 19m BTC,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,0.0,0.0,False,False,positive,0.9999997615814209,2.717322900025465e-07
1.604627544032088e+18,Sun Dec 18 23:59:53 +0000 2022,KARMATOKEN (KTN) went up 8.9 percent in the last 1 minutes on https://t.co/rgEAV9gIXu. #KTN  #crypto #bitcoin… https://t.co/ojtqpazHeW,"<a href=""http://www.powerapps.com"" rel=""nofollow"">Microsoft Power Platform</a>",,,0.0,0.0,False,False,positive,0.998832643032074,0.001167392241768539
1.6046275417587753e+18,Sun Dec 18 23:59:53 +0000 2022,JulSwap (JULD) went up 10.9 percent in the last 1 minutes on https://t.co/rgEAV9gIXu. #JULD  #crypto #bitcoin… https://t.co/Kp4ExuyQMy,"<a href=""http://www.powerapps.com"" rel=""nofollow"">Microsoft Power Platform</a>",,,0.0,0.0,False,False,positive,0.9998403787612915,0.00015960741438902915
1.6046275123356877e+18,Sun Dec 18 23:59:46 +0000 2022,RT @cryptomanran: No way! @elonmusk and Jared Kushner! https://t.co/GuDWcm1mE0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,838.0,0.0,False,False,negative,0.0006528348312713206,0.9993471503257751
1.604627511446569e+18,Sun Dec 18 23:59:45 +0000 2022,RT @IoT_CloudWork3r: #Bitcoin  is better than gold https://t.co/1m7yffwTHS,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,103.0,0.0,False,False,negative,4.3461486711748876e-06,0.9999957084655762
1.6046275080785592e+18,Sun Dec 18 23:59:45 +0000 2022,RT @DocumentingBTC: 25% of Argentina's internet users own #bitcoin or crypto! 🇦🇷,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,116.0,0.0,False,False,positive,0.9999998807907104,1.666826676682831e-07
1.604627486368596e+18,Sun Dec 18 23:59:39 +0000 2022,New FTX CEO Told Members of Congress SBF's Family 'Certainly Received Payments' From the Business – Bitcoin News https://t.co/j6YGuRiXBr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,0.0,0.0,False,False,positive,0.9999995231628418,5.266094831313239e-07
1.6046274786009784e+18,Sun Dec 18 23:59:38 +0000 2022,Bitcoin price index https://t.co/o7UcHJUhC6 #USD #EUR #CNY #GBP #RUB https://t.co/XI8giMfXTh,"<a href=""http://www.worldcoinindex.com"" rel=""nofollow"">WCI Trending</a>",,,0.0,0.0,False,False,positive,0.9999997615814209,2.1912360637088568e-07
1.6046274719067218e+18,Sun Dec 18 23:59:36 +0000 2022,"@_pretyflaco @skwp I've experienced several examples of merchants only accepting lightning or ""I need to go get the… https://t.co/1ulXWrqCZl","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,0.0,6.0,False,False,negative,0.022258533164858818,0.9777414202690125
1.6046274627884196e+18,Sun Dec 18 23:59:34 +0000 2022,#RT @tangent24: ‘Crypto winter’ has come. And it’s looking more like an ice age. https://t.co/IaeaDoASGp,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",,,0.0,0.0,False,False,negative,0.46793630719184875,0.5320637226104736
1.604627443800752e+18,Sun Dec 18 23:59:29 +0000 2022,RT @BitcoinMagazine: JUST IN: 🇳🇬 Nigeria to pass bill legalizing #Bitcoin and crypto - Local Newspaper 🙌,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,841.0,0.0,False,False,positive,0.9901942610740662,0.009805788286030293
1.604627421780738e+18,Sun Dec 18 23:59:24 +0000 2022,@martypartymusic @Cobratate @saylor The more people wake up to the reality that everything is designed to keep you… https://t.co/2nhnya3Bcd,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,0.0,0.0,False,False,positive,0.9999969005584717,3.066545332330861e-06
1.6046274029105357e+18,Sun Dec 18 23:59:20 +0000 2022,RT @rovercrc: #BITCOIN FALLING WEDGE! 🔥 https://t.co/z78u5J9LCe,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,74.0,0.0,False,False,positive,0.995438277721405,0.004561683628708124
1.6046273740118098e+18,Sun Dec 18 23:59:13 +0000 2022,Why This Bitcoin Bearish Divergence Could Spell Doom For BTC Rally #Bitcoin #News https://t.co/8RNQraqvqi #bitcoinnews,"<a href=""https://revive.social/"" rel=""nofollow"">Revive Social App</a>",,,0.0,0.0,False,False,positive,1.0,1.8879623558953895e-11
